Country,State,City,Organization,lastupdate,Avg,Max,Min,Pollutant_Name,Predominant_Parameter,AQI_Value
India,Bihar,Patna,"Muradpur, Patna - BSPCB",14-09-2021 10:00,4,6,2,SO2,CO,47
India,Bihar,Patna,"Muradpur, Patna - BSPCB",14-09-2021 10:00,47,64,46,CO,CO,47
India,Bihar,Patna,"Muradpur, Patna - BSPCB",14-09-2021 10:00,37,48,27,OZONE,CO,47
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",14-09-2021 10:00,33,52,16,PM2.5,PM10,54
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",14-09-2021 10:00,54,72,43,PM10,PM10,54
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",14-09-2021 10:00,32,98,24,NO2,PM10,54
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",14-09-2021 10:00,4,5,4,NH3,PM10,54
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",14-09-2021 10:00,4,5,3,SO2,PM10,54
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",14-09-2021 10:00,13,33,10,CO,PM10,54
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",14-09-2021 10:00,11,29,9,OZONE,PM10,54
India,Bihar,Patna,"Samanpura, Patna - BSPCB",14-09-2021 10:00,41,52,28,PM2.5,OZONE,61
India,Bihar,Patna,"Samanpura, Patna - BSPCB",14-09-2021 10:00,47,55,36,PM10,OZONE,61
India,Bihar,Patna,"Samanpura, Patna - BSPCB",14-09-2021 10:00,16,24,11,NO2,OZONE,61
India,Bihar,Patna,"Samanpura, Patna - BSPCB",14-09-2021 10:00,4,5,4,NH3,OZONE,61
India,Bihar,Patna,"Samanpura, Patna - BSPCB",14-09-2021 10:00,9,13,8,SO2,OZONE,61
India,Bihar,Patna,"Samanpura, Patna - BSPCB",14-09-2021 10:00,39,53,32,CO,OZONE,61
India,Bihar,Patna,"Samanpura, Patna - BSPCB",14-09-2021 10:00,61,93,50,OZONE,OZONE,61
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",14-09-2021 10:00,19,47,7,PM2.5,PM10,34
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",14-09-2021 10:00,34,101,11,PM10,PM10,34
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",14-09-2021 10:00,30,53,17,NO2,PM10,34
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",14-09-2021 10:00,3,6,1,NH3,PM10,34
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",14-09-2021 10:00,7,21,5,SO2,PM10,34
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",14-09-2021 10:00,21,41,14,CO,PM10,34
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",14-09-2021 10:00,18,185,11,OZONE,PM10,34
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",14-09-2021 10:00,32,95,15,PM2.5,PM10,37
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",14-09-2021 10:00,37,119,17,PM10,PM10,37
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",14-09-2021 10:00,16,30,9,NO2,PM10,37
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",14-09-2021 10:00,16,53,9,NH3,PM10,37
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",14-09-2021 10:00,10,25,5,SO2,PM10,37
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",14-09-2021 10:00,34,48,28,CO,PM10,37
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",14-09-2021 10:00,1,33,1,OZONE,PM10,37
India,NCT of Delhi,Delhi,"Alipur, Delhi - DPCC",14-09-2021 10:00,32,67,8,PM2.5,CO,34
India,NCT of Delhi,Delhi,"Alipur, Delhi - DPCC",14-09-2021 10:00,33,59,13,PM10,CO,34
India,NCT of Delhi,Delhi,"Alipur, Delhi - DPCC",14-09-2021 10:00,11,22,5,NO2,CO,34
India,NCT of Delhi,Delhi,"Alipur, Delhi - DPCC",14-09-2021 10:00,2,2,1,NH3,CO,34
India,NCT of Delhi,Delhi,"Alipur, Delhi - DPCC",14-09-2021 10:00,7,11,4,SO2,CO,34
India,NCT of Delhi,Delhi,"Alipur, Delhi - DPCC",14-09-2021 10:00,34,40,25,CO,CO,34
India,NCT of Delhi,Delhi,"Alipur, Delhi - DPCC",14-09-2021 10:00,3,23,2,OZONE,CO,34
